Country	City	Accent City	Region	Latitude	Longitude
DE	aabauerschaft	Aabauerschaft	07	52.0833333	7.3833333
DE	aach	Aach	02	47.5166667	9.9666667
DE	aach	Aach	01	47.85	8.85
DE	aach	Aach	01	48.4666667	8.4833333
DE	aach	Aach	08	49.7833333	6.6
DE	aachen	Aachen	07	50.7708333	6.1052778
DE	kreisfreie stadt aachen	Kreisfreie Stadt Aachen	07	50.7708333	6.1052778
DE	aachen-rothe erde	Aachen-Rothe Erde	07	50.7666667	6.1333333
DE	aach-linz	Aach-Linz	01	47.9	9.2
DE	aaldering	Aaldering	06	52.4833333	7.0333333
DE	aalderink	Aalderink	06	52.4833333	7.0333333
DE	aalen	Aalen	01	48.8333333	10.1
DE	aalkorb	Aalkorb	02	49.8666667	11.3333333
DE	aasbuttel	Aasbüttel	10	54.0666667	9.4333333
DE	aasen	Aasen	01	47.9833333	8.55
DE	aashausen	Aashausen	06	53.5333333	8.5
DE	abach	Abach	02	48.9333333	12.05
DE	abbach	Abbach	02	48.9333333	12.05
DE	abbecke	Abbecke	06	51.75	9.65
DE	abbehausen	Abbehausen	06	53.4833333	8.4333333
DE	abbehausergroden	Abbehausergroden	06	53.4833333	8.3833333
DE	abbehauser wehl	Abbehauser Wehl	06	53.4833333	8.4
DE	abbehauserwisch	Abbehauserwisch	06	53.5166667	8.4333333
DE	abbendorf	Abbendorf	14	52.75	10.9166667
DE	abbendorf	Abbendorf	06	52.8333333	10.7
DE	abbendorf	Abbendorf	06	53.2	9.3833333
DE	abbendorf	Abbendorf	11	52.9	11.9
DE	abbenfleth	Abbenfleth	06	53.6666667	9.4833333
DE	abbenhausen	Abbenhausen	06	52.8166667	8.6333333
DE	abbenrode	Abbenrode	14	51.9166667	10.6166667
DE	abbenrode	Abbenrode	06	52.25	10.7333333
DE	abbensen	Abbensen	06	52.3833333	10.1833333
DE	abbensen	Abbensen	06	52.5666667	9.6
DE	abbenseth	Abbenseth	06	53.5666667	9.1
DE	abbentheren	Abbentheren	06	52.8166667	8.55
DE	abberg	Abberg	02	47.7833333	11.5333333
DE	abberode	Abberode	14	51.6166667	11.2833333
DE	abbesbuttel	Abbesbüttel	06	52.35	10.5666667
DE	abbickenhausen	Abbickenhausen	06	53.5333333	8.0
DE	abbikenhausen	Abbikenhausen	06	53.5333333	8.0
DE	abbingwehr	Abbingwehr	06	53.45	7.2333333
DE	abenberg	Abenberg	02	49.25	10.9666667
DE	abend	Abend	13	51.1333333	13.2666667
DE	abenden	Abenden	08	50.6666667	6.4833333
DE	abendsiepen	Abendsiepen	07	51.4666667	7.7166667
DE	abenheim	Abenheim	08	49.6772222	8.2811111
DE	abens	Abens	02	48.5333333	11.6666667
DE	abens	Abens	06	53.6	7.7333333
DE	abensberg	Abensberg	02	48.8166667	11.85
DE	abensperg	Abensperg	02	48.8166667	11.85
DE	abentheuer	Abentheuer	08	49.65	7.1
DE	abersberg	Abersberg	02	48.4666667	11.8
DE	abersdorf	Abersdorf	02	47.85	12.25
DE	abersdorf	Abersdorf	02	48.1	12.0333333
DE	abersfeld	Abersfeld	02	50.0666667	10.3833333
DE	aberzhausen	Aberzhausen	02	49.1166667	11.1666667
DE	abetsweiler	Abetsweiler	01	47.8666667	9.7666667
DE	abhorn	Abhorn	13	50.5666667	12.4
DE	abickhafe	Abickhafe	06	53.4833333	7.9
DE	abingen	Abingen	01	48.2166667	9.0333333
DE	ablach	Ablach	01	48.0166667	9.2166667
DE	ablaß	Ablaß	13	51.2333333	12.95
DE	ablers	Ablers	02	47.5666667	9.8666667
DE	abort	Abort	10	54.8833333	8.45
DE	abrain	Abrain	02	47.8	11.5833333
DE	abrain	Abrain	02	47.9333333	12.9333333
DE	abro	Abro	10	54.8166667	9.1
DE	absberg	Absberg	02	49.15	10.8833333
DE	absdorf	Absdorf	02	48.6166667	12.9666667
DE	absen	Absen	06	53.4	8.45
DE	absenreute	Absenreute	01	47.8166667	9.5166667
DE	abserdeich	Abserdeich	06	53.4	8.4666667
DE	abshofen	Abshofen	02	48.5333333	13.0666667
DE	abspann	Abspann	02	49.8333333	12.0
DE	abstatt	Abstatt	01	49.0711111	9.2927778
DE	abstetter hof	Abstetter Hof	01	49.0333333	9.2666667
DE	abtei	Abtei	08	49.6833333	6.95
DE	abtei	Abtei	13	50.7	12.7
DE	abtenham	Abtenham	02	48.0333333	12.8
DE	abteroda	Abteroda	15	50.9	10.0666667
DE	abterode	Abterode	05	51.2	9.9333333
DE	abtischrode	Abtischrode	14	51.4666667	11.5666667
DE	abtissinwisch	Äbtissinwisch	10	53.9666667	9.2833333
DE	abtlobnitz	Abtlöbnitz	14	51.0833333	11.7166667
DE	abtnaundorf	Abtnaundorf	13	51.3666667	12.4166667
DE	abtsbessingen	Abtsbessingen	15	51.25	10.7666667
DE	abtschlag	Abtschlag	02	48.8833333	13.25
DE	abtsdorf	Abtsdorf	02	47.9	12.9166667
DE	abtsdorf	Abtsdorf	02	49.8166667	10.8333333
DE	abtsdorf	Abtsdorf	14	51.9	12.7166667
DE	abtsee	Abtsee	02	47.9166667	12.9166667
DE	abtsgmund	Abtsgmünd	01	48.8833333	10.0
DE	abtsgreut	Abtsgreut	02	49.6666667	10.5833333
DE	abtsgreuth	Abtsgreuth	02	49.6666667	10.5833333
DE	abtshagen	Abtshagen	12	54.1833333	13.0166667
DE	abtsried	Abtsried	02	49.1833333	12.4
DE	abtsroda	Abtsroda	05	50.5	9.9166667
DE	abtswind	Abtswind	02	49.7666667	10.3666667
DE	abtweiler	Abtweiler	08	49.75	7.65
DE	abwinkel	Abwinkel	02	47.75	11.85
DE	abwinkl	Abwinkl	02	47.7	11.7333333
DE	abwinkl	Abwinkl	02	47.75	11.85
DE	accum	Accum	06	53.55	8.0166667
DE	accumersiel	Accumersiel	06	53.5166667	8.05
DE	achau	Achau	02	47.75	11.9333333
DE	achau-muhle	Achau-Mühle	02	47.75	11.9333333
DE	achberg	Achberg	02	47.7666667	11.1
DE	achberg	Achberg	02	47.7166667	12.4
DE	achdorf	Achdorf	01	47.8333333	8.5
DE	achdorf	Achdorf	02	48.5166667	12.1666667
DE	achelriede	Achelriede	06	52.25	8.1666667
DE	achelstadt	Achelstädt	15	50.8333333	11.1166667
DE	achen	Achen	01	47.7	10.05
DE	achen	Achen	02	47.7	12.2666667
DE	achen	Achen	02	47.7166667	10.9833333
DE	achen	Achen	02	47.9833333	12.2333333
DE	achen	Achen	02	48.0333333	12.2833333
DE	achenbach	Achenbach	05	50.85	8.3833333
DE	achenbach	Achenbach	07	50.8666667	7.9666667
DE	achenbacher furt	Achenbacher Furt	07	50.8666667	7.9833333
DE	achenmuhle	Achenmühle	02	47.7833333	12.2166667
DE	achering	Achering	02	48.35	11.7166667
DE	achern	Achern	01	48.6333333	8.0666667
DE	achert	Achert	01	48.5666667	8.2
DE	acherting	Acherting	02	47.8	12.25
DE	achim	Achim	06	52.0666667	10.6
